J1.1,160,J1.3,160,,J2.1,155,J2.3,160
J1.4,155,,160,,,175,,155
,155,,160,,,150,,150
,160,,160,,,175,,155
,155,,155,,,150,,150
,160,,155,,,175,,150
,155,,155,,,150,,155
,160,,155,,,175,,155
,155,,155,,,150,,155
,160,,155,,,180,,155
,155,,155,,,155,,155
,160,,155,,,180,,155
,155,,155,,,155,,155
,160,,155,,,185,,160
,155,,155,,,160,,160
,160,,150,,,190,,160
,gnd,,150,,,160,,155
,160,,155,,,190,,160
,150,,155,,,160,,160
,165,,150,,,190,,160
,155,,150,,,160,,155
,165,,150,,,195,,160
,155,,150,,,165,,160
,165,,150,,,195,,160
,155,,150,,,160,,160
,170,,155,,,200,,160
,155,,155,,,165,,165
,170,,155,,,200,,165
,160,,155,,,165,,160
,175,,155,,,205,,165
,165,,155,,,165,,165
,175,,gnd,,,205,,165
