J1.1,170,J1.3,170,,J2.1,160,J2.3,155
,70,,170,,,175,,155
,170,,170,,,155,,155
,70,,165,,,170,,155
,165,,165,,,150,,150
,200,,165,,,165,,150
,165,,165,,,150,,150
,195,,165,,,165,,150
,160,,165,,,150,,150
,195,,165,,,165,,150
,160,,165,,,150,,150
,190,,165,,,160,,150
,160,,160,,,150,,150
,190,,165,,,160,,150
,165,,165,,,155,,150
,190,,165,,,160,,155
,160,,165,,,155,,150
,190,,160,,,160,,150
,160,,160,,,150,,150
,185,,160,,,160,,150
,155,,160,,,150,,150
,185,,160,,,160,,150
,160,,160,,,150,,155
,180,,155,,,160,,155
,155,,155,,,155,,150
,180,,160,,,160,,155
,160,,155,,,155,,155
,180,,155,,,155,,155
,155,,155,,,155,,155
,175,,155,,,155,,160
,160,,155,,,160,,160
,175,,155,,,155,,160
